着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー 通過順,厩舎,馬体重 (増減),horse_id,jockey_id,race_id
1,1,2,フロムダスク,牡6,55.0,中井,1:06.5,,12,35.1,33.6,3-3,栗東 森秀,512(-6),2020110133,01141,202607020607
2,2,3,レイピア,牡4,57.5,横山武,1:06.9,2,2,4.9,33.4,8-8,栗東 中竹,508(-2),2022103066,01170,202607020607
3,3,6,レッドエヴァンス,セ5,55.0,西村淳,1:06.9,クビ,3,7.1,33.5,8-8,栗東 東田,492(0),2021105880,01171,202607020607
4,2,4,プロトポロス,牡6,53.0,亀田,1:06.9,ハナ,17,138.1,33.1,12-12,栗東 西村,486(-6),2020103325,01176,202607020607
5,3,5,ジェニファー,牝5,52.0,永島,1:06.9,ハナ,9,21.4,33.9,3-3,栗東 浜田,472(+6),2021103932,01187,202607020607
6,8,17,タマモイカロス,牡3,54.0,西塚,1:07.1,1.1/4,6,14.2,33.4,11-11,栗東 藤岡健,518(-6),2023103162,01200,202607020607
7,7,13,サンアントワーヌ,牝3,52.0,丸山,1:07.1,クビ,7,15.5,32.6,18-18,美浦 鹿戸,472(+10),2023107020,01127,202607020607
8,8,16,アブキールベイ,牝4,55.5,コレッ,1:07.1,アタマ,15,63.1,32.8,16-16,栗東 坂口,430(0),2022101623,05691,202607020607
9,4,7,ディアナザール,牡4,56.0,川田,1:07.2,クビ,1,3.9,32.8,17-17,栗東 斉藤崇,496(0),2022104933,01088,202607020607
10,1,1,イツモニコニコ,牝5,53.0,藤懸,1:07.2,ハナ,13,38.5,33.0,14-15,栗東 浜田,504(0),2021107063,01138,202607020607
11,5,9,クラスペディア,牡4,57.5,小崎,1:07.2,クビ,10,31.0,34.5,2-2,栗東 河嶋,518(-14),2022106394,01152,202607020607
12,5,10,ナムラローズマリー,牝5,53.0,幸,1:07.2,アタマ,11,33.8,34.0,6-6,栗東 羽月,458(-12),2021103092,00732,202607020607
13,4,8,フィオライア,牝5,55.0,太宰,1:07.3,1/2,14,63.0,34.1,6-6,栗東 柴田,466(+2),2021101924,01037,202607020607
14,7,15,アンクルクロス,牡5,56.0,松若,1:07.4,1/2,4,8.0,34.0,8-8,栗東 高橋亮,474(-4),2021101598,01154,202607020607
15,8,18,ペプチドヤマト,牡7,56.0,高倉,1:07.6,3/4,18,284.6,33.5,14-14,栗東 武英,502(0),2019103605,01130,202607020607
16,6,11,タマモブラックタイ,牡6,57.0,角田和,1:07.6,クビ,16,78.1,33.8,12-12,栗東 角田,520(-16),2020105400,01186,202607020607
17,6,12,インビンシブルパパ,牡5,58.0,団野,1:07.6,ハナ,5,8.4,35.2,1-1,美浦 伊藤大,516(-10),2021110164,01180,202607020607
18,7,14,コウセキ,牡4,55.0,松山,1:07.8,1,8,15.7,34.8,3-3,栗東 西園翔,480(0),2022110026,01126,202607020607
